1_M0,TASK BEGUN,1607018695.4626126
1_M0,TASK END,1607018696.4647403
2_M0,TASK BEGUN,1607018697.0484674
3_M0,TASK BEGUN,1607018697.674427
2_M0,TASK END,1607018699.049869
3_M0,TASK END,1607018701.6778378
6_M1,TASK BEGUN,1607018701.8826482
7_M1,TASK BEGUN,1607018702.2923703
8_M0,TASK BEGUN,1607018704.0508726
8_M0,TASK END,1607018705.051927
6_M1,TASK END,1607018705.885776
7_M1,TASK END,1607018706.2938795
12_M0,TASK BEGUN,1607018707.8499594
12_M1,TASK BEGUN,1607018707.8503644
13_M2,TASK BEGUN,1607018708.0323565
12_M1,TASK END,1607018710.853746
17_M0,TASK BEGUN,1607018711.144409
12_M0,TASK END,1607018711.8538282
13_M2,TASK END,1607018712.0338643
17_M0,TASK END,1607018712.1457775
20_M1,TASK BEGUN,1607018713.229518
20_M3,TASK BEGUN,1607018713.2299023
21_M0,TASK BEGUN,1607018713.458745
21_M0,TASK END,1607018715.46107
20_M3,TASK END,1607018716.2327461
20_M1,TASK END,1607018716.2329483
24_M0,TASK BEGUN,1607018716.4503
24_M0,TASK END,1607018717.4519453
0_M2,TASK BEGUN,1607018819.9240718
0_M2,TASK END,1607018820.9257665
7_M1,TASK BEGUN,1607018825.1367846
7_M2,TASK BEGUN,1607018825.1371121
8_M2,TASK BEGUN,1607018825.5304623
7_M2,TASK END,1607018827.137868
9_M3,TASK BEGUN,1607018827.9047115
8_M2,TASK END,1607018828.533761
11_M1,TASK BEGUN,1607018828.6415696
7_M1,TASK END,1607018829.1377995
12_M0,TASK BEGUN,1607018829.1868584
9_M3,TASK END,1607018829.9058027
11_M1,TASK END,1607018831.644915
14_M2,TASK BEGUN,1607018831.7413952
14_M3,TASK BEGUN,1607018831.7421691
12_M0,TASK END,1607018832.1897562
14_M3,TASK END,1607018832.7438798
14_M2,TASK END,1607018835.745908
15_R0,TASK BEGUN,1607018836.5510767
16_M1,TASK BEGUN,1607018837.5903168
16_M1,TASK END,1607018838.5916238
15_R0,TASK END,1607018839.55383
18_R0,TASK BEGUN,1607018843.1342206
19_R0,TASK BEGUN,1607018843.9755611
19_M0,TASK BEGUN,1607018843.9759445
18_R0,TASK END,1607018845.136716
22_M0,TASK BEGUN,1607018845.9455009
19_R0,TASK END,1607018845.9777653
19_M0,TASK END,1607018847.9778094
22_M0,TASK END,1607018848.9458516
22_R0,TASK BEGUN,1607018848.9772441
23_M0,TASK BEGUN,1607018849.2099721
24_M2,TASK BEGUN,1607018849.584597
22_R0,TASK END,1607018851.977828
24_M2,TASK END,1607018852.585777
23_M0,TASK END,1607018853.2137773
24_R0,TASK BEGUN,1607018853.6205606
24_R0,TASK END,1607018856.6217797
20_R0,TASK BEGUN,1607018860.8226929
20_R1,TASK BEGUN,1607018860.822959
20_R1,TASK END,1607018861.8241699
20_R0,TASK END,1607018863.8258212
17_R0,TASK BEGUN,1607018866.9318385
17_R0,TASK END,1607018869.933817
14_R0,TASK BEGUN,1607018874.071652
14_R0,TASK END,1607018877.0738142
13_R1,TASK BEGUN,1607018877.1366131
13_R1,TASK END,1607018880.1378176
12_R0,TASK BEGUN,1607018880.2053137
